rank,name,typ,wsk,ind_01,ind_02,ind_03,ind_04,ind_05,ind_06,ind_07,ind_08,ind_09,ind_10,ind_11,ind_12,ind_13,ind_14,ind_15,ind_16,ind_17,ind_18,ind_19,ind_20,ind_21,ind_22,ind_23,ind_24,ind_25,ind_26,ind_27,ind_28,ind_29,year,canonical,ind_30,ind_31
80+,Chrześcijańska Akademia Teologiczna w Warszawie,,,0.54,0.0,51.87,59.5,87.07,4.0,7.41,0.0,0.0,0.0,6.67,23.59,43.6,0.0,0.0,0.0,0.0,0.0,94.89,0.0,0.0,0.0,22.35,0.0,0.0,8.53,6.77,7.08,0.0,2022,,,
80+,Krakowska Akademia im. A. F. Modrzewskiego,,,3.97,0.0,56.27,42.5,31.8,4.0,11.11,0.0,0.0,22.35,3.79,33.37,8.57,19.4,25.89,29.65,28.94,35.03,27.55,6.3,13.89,8.06,67.63,47.6,7.41,8.4,13.59,38.05,0.0,2022,,,
80+,Papieski Wydział Teologiczny we Wrocławiu,,,1.08,0.0,65.48,59.5,100.0,4.0,3.7,0.0,0.0,0.0,5.25,0.0,0.0,4.49,0.36,2.01,16.05,0.0,100.0,0.0,0.0,0.0,10.64,0.0,0.0,0.0,0.0,6.19,0.0,2022,,,
80+,Uniwersytet Technologiczno-Human. im. K. Pułaskiego w Radomiu,,,0.22,0.0,61.22,46.75,59.07,8.0,22.22,18.63,0.0,27.63,14.83,35.07,14.64,30.12,23.25,30.65,31.23,31.63,53.62,0.0,0.0,0.0,4.25,47.11,16.18,7.46,8.29,7.08,0.0,2022,Uniwersytet Radomski,,
80+,Wyższa Szkoła Humanitas w Sosnowcu,,,0.45,0.0,68.23,46.75,45.53,0.0,3.7,0.0,0.0,0.0,10.81,82.67,0.0,0.0,0.0,0.0,0.0,0.0,19.39,0.0,22.22,39.47,51.81,0.0,83.9,5.25,16.66,6.19,0.0,2022,,,
91+,Akademia Humanistyczno-Ekonomiczna w Łodzi,,,1.31,0.0,75.67,0.0,16.44,0.0,3.7,0.0,0.0,3.68,8.26,13.98,0.0,6.7,9.75,14.07,24.93,47.62,13.03,0.0,11.11,2.2,18.81,14.05,9.94,3.86,8.06,39.82,0.0,2022,,,
91+,Akademia im. Jakuba z Paradyża w Gorzowie Wielkopolskim,,,0.24,0.0,55.8,40.38,52.34,0.0,3.7,8.59,0.0,0.0,7.67,21.14,4.01,0.0,0.0,0.0,0.0,0.0,59.06,0.0,0.0,0.0,10.1,0.0,13.1,0.0,3.46,2.65,0.0,2022,,,
91+,PWSZ im. Pr. S. Wojciechowskiego w Kaliszu,,,0.21,0.0,59.91,0.0,39.41,0.0,7.41,1.4,0.0,0.0,19.09,19.9,2.08,0.0,0.0,0.0,0.0,0.0,40.06,0.0,0.0,0.0,1.26,0.0,8.11,0.0,43.09,3.54,0.0,2022,,,
91+,Szkoła Główna Służby Pożarniczej,,,0.62,0.0,86.0,34.0,23.53,0.0,7.41,2.95,0.0,26.0,19.08,7.85,3.91,47.57,20.63,24.62,26.93,28.91,32.48,0.0,0.0,0.0,4.08,12.23,0.0,0.0,2.27,1.77,0.0,2022,,,
91+,Wyższa Szkoła Bankowa w Gdańsku,,,0.89,0.0,62.92,46.75,30.38,0.0,3.7,0.0,0.0,0.0,20.37,14.31,2.37,0.0,0.0,0.0,0.0,0.0,7.0,6.3,11.11,5.19,4.86,0.0,59.87,5.4,2.49,23.89,0.0,2022,,,
91+,Wyższa Szkoła Bankowa we Wrocławiu,,,1.67,0.0,71.71,34.0,27.35,0.0,3.7,0.0,0.0,0.0,1.39,17.35,9.21,0.0,0.0,0.0,0.0,0.0,6.6,0.0,11.11,1.68,24.73,0.0,28.35,13.22,2.56,42.48,0.0,2022,,,
1=,Uniwersytet Jagielloński w Krakowie,,100.0,100.0,100.0,48.98,71.39,77.68,100.0,100.0,2.84,31.62,99.18,78.05,56.66,40.91,48.84,46.67,46.72,48.67,77.04,73.77,58.82,34.25,5.52,66.78,17.42,1.52,2.14,100.0,34.05,32.17,2023,,100.0,
1=,Uniwersytet Warszawski,,99.6,98.89,92.51,57.32,77.05,85.63,93.2,90.57,1.98,11.7,100.0,52.51,38.96,30.29,45.29,42.6,48.91,46.9,85.5,65.57,100.0,22.81,4.86,72.34,29.48,4.63,1.59,100.0,50.93,24.32,2023,,91.3,
3,Politechnika Warszawska,,88.0,56.64,50.25,75.64,70.62,59.35,52.43,50.94,13.82,25.2,85.26,79.24,38.94,33.06,59.95,26.5,30.57,50.15,70.69,55.99,51.26,26.71,9.44,55.16,9.79,1.4,3.75,100.0,21.28,22.01,2023,Politechnika Warszawska,90.43,
4=,Uniwersytet im. Adama Mickiewicza w Poznaniu,,83.6,54.78,46.31,43.68,73.86,93.76,83.5,81.13,3.25,1.59,97.0,85.26,38.65,28.86,35.24,34.04,36.68,38.35,81.57,62.96,67.23,23.26,3.69,62.36,20.74,2.23,2.28,100.0,31.13,28.37,2023,,66.96,
4=,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,,83.1,48.55,49.72,61.33,67.12,71.26,54.37,52.83,11.5,25.6,93.8,65.96,49.32,33.58,58.28,30.58,34.93,56.93,80.66,68.31,50.42,6.83,0.96,59.74,7.74,4.4,0.43,100.0,20.47,28.34,2023,AGH,45.22,
6,Politechnika Gdańska,,80.9,25.98,37.34,60.59,84.8,68.86,42.72,47.17,20.92,100.0,77.04,46.8,32.48,36.93,68.13,33.67,36.68,35.69,83.08,48.66,36.97,19.41,3.89,63.67,11.32,7.93,9.56,100.0,20.9,24.47,2023,Politechnika Gdanska,48.7,
7,Warszawski Uniwersytet Medyczny,,75.2,18.0,23.5,77.37,71.43,59.87,11.65,11.32,3.61,19.07,41.59,46.9,65.39,71.86,94.47,41.55,45.85,34.81,48.94,70.94,15.13,25.74,8.54,50.25,2.1,2.81,0.0,0.0,29.23,10.04,2023,,67.83,
8,Politechnika Wrocławska,,74.2,38.47,37.04,60.65,78.22,51.38,44.66,46.23,16.46,7.0,84.53,37.97,45.41,40.78,55.65,23.42,27.95,33.63,60.12,49.41,38.66,17.74,3.32,53.52,8.83,29.66,0.0,100.0,21.34,14.8,2023,Politechnika Wroclawska,59.13,
9=,Gdański Uniwersytet Medyczny,,73.5,21.5,26.39,56.2,59.05,67.48,11.65,11.32,2.6,20.02,25.52,58.73,86.85,60.69,64.77,48.09,50.22,37.46,55.89,78.09,18.49,51.68,19.85,58.27,0.7,11.17,0.0,0.0,29.4,10.32,2023,,69.57,
9=,Politechnika Łódzka,,73.0,12.76,30.51,59.09,78.37,61.74,37.86,45.28,21.93,28.88,68.37,61.85,37.83,23.45,62.95,31.17,31.44,38.94,62.54,64.45,29.41,11.43,1.71,53.03,10.54,1.09,11.28,100.0,52.83,45.57,2023,Politechnika Lodzka,33.04,
11,Uniwersytet Medyczny w Łodzi,,72.5,13.12,27.08,59.59,69.97,55.18,11.65,11.32,2.58,25.66,28.97,62.22,56.41,37.91,87.83,68.08,68.56,56.93,48.34,65.1,11.76,30.93,12.2,51.39,2.3,8.73,0.0,0.0,15.34,9.43,2023,,72.17,
12=,Politechnika Poznańska,,71.3,13.95,32.17,62.63,76.4,57.76,29.13,33.96,20.39,7.61,67.93,78.15,35.99,34.66,56.76,25.81,32.75,38.35,58.61,45.78,23.53,18.0,6.98,43.7,5.68,26.8,3.9,100.0,21.97,21.82,2023,Politechnika Poznanska,56.52,
12=,Pomorski Uniwersytet Medyczny w Szczecinie,,71.2,2.39,5.96,54.29,73.71,82.12,8.74,8.49,4.18,0.0,16.8,57.18,77.44,70.6,70.84,89.8,86.46,74.34,47.43,59.0,0.0,38.22,15.3,46.81,0.67,4.03,0.0,0.0,8.47,3.46,2023,,49.57,
12=,Politechnika Śląska,,70.9,26.62,30.58,63.42,68.81,73.1,40.78,42.45,26.43,24.25,78.9,40.61,46.99,23.08,53.6,23.99,31.44,35.4,59.21,65.71,28.57,10.21,3.96,42.72,7.52,3.4,5.44,100.0,12.43,17.23,2023,Politechnika Slaska,49.57,
12=,Szkoła Główna Handlowa w Warszawie,,70.8,20.11,6.44,100.0,57.14,71.97,9.71,12.26,0.0,0.0,78.32,47.86,38.71,26.37,20.74,17.74,36.24,29.5,38.67,52.86,42.86,32.34,7.14,42.39,2.0,0.0,1.02,100.0,93.81,43.48,2023,,61.74,
16=,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,,70.4,10.74,22.03,59.06,61.15,73.98,11.65,11.32,0.57,0.0,29.74,55.0,82.13,100.0,73.57,42.81,41.48,33.04,50.15,84.44,15.13,35.75,14.63,48.61,2.4,1.81,0.0,0.0,14.34,6.63,2023,,53.91,
16=,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,,70.2,9.48,50.74,53.25,71.43,50.44,11.65,11.32,3.9,0.0,30.19,38.43,61.1,69.76,73.86,50.34,58.08,35.1,51.96,92.14,15.13,45.21,15.3,52.37,2.45,1.1,0.0,0.0,20.03,16.14,2023,,54.78,
16=,Uniwersytet Gdański,,70.1,33.05,31.32,54.77,62.78,65.81,64.08,73.58,5.62,38.22,93.36,46.16,37.52,31.08,31.34,29.97,34.06,35.69,73.72,52.73,30.25,8.49,2.37,65.14,13.18,5.65,1.42,100.0,19.95,17.56,2023,,41.74,
16=,Akademia Leona Koźmińskiego w Warszawie,,69.9,33.51,4.82,59.98,63.66,64.47,11.65,11.32,0.0,0.0,58.9,74.76,31.26,30.08,33.6,26.41,42.79,37.17,78.85,22.71,47.06,39.54,10.7,70.87,22.98,20.51,0.0,0.0,86.57,45.04,2023,,57.39,
19,Uniwersytet Wrocławski,,69.4,38.56,28.31,40.65,68.03,79.26,73.79,77.36,0.68,0.0,65.1,48.89,45.51,34.91,33.5,28.91,35.81,35.4,72.81,60.98,18.49,23.19,5.71,67.59,14.37,12.82,0.74,100.0,38.04,21.5,2023,,81.74,
20=,Uniwersytet Mikołaja Kopernika w Toruniu,,68.8,20.13,40.91,43.41,67.8,79.33,92.23,92.45,1.48,1.88,91.65,35.66,38.9,40.48,40.44,32.39,36.24,34.51,56.5,68.59,50.42,19.07,4.18,61.05,8.55,4.82,0.62,100.0,15.89,23.71,2023,,53.91,
20=,Uniwersytet Medyczny w Białymstoku,,68.4,7.76,17.83,51.24,75.43,72.76,11.65,11.32,2.01,0.0,18.32,65.78,71.14,68.22,71.11,43.83,43.67,37.76,50.76,76.21,16.81,27.33,10.4,46.48,6.81,5.63,0.0,0.0,4.81,2.92,2023,,49.57,
23,Uniwersytet Medyczny w Lublinie,,67.5,18.33,9.31,54.17,61.75,56.88,11.65,11.32,12.46,15.61,24.23,35.4,64.15,53.38,68.15,38.48,37.55,36.28,40.18,100.0,21.85,51.06,21.7,42.23,2.02,0.51,1.19,0.0,5.73,5.87,2023,,60.0,
24,Uniwersytet Opolski,,64.0,4.01,7.24,31.74,65.02,62.48,39.81,44.34,2.37,0.0,69.04,58.25,32.19,22.08,32.65,100.0,100.0,100.0,51.96,47.32,2.52,31.12,3.76,58.92,11.81,7.91,5.91,100.0,13.74,14.86,2023,,36.52,
25=,Politechnika Lubelska,,62.4,4.48,14.87,41.27,83.17,50.29,15.53,17.92,100.0,0.0,58.69,43.53,34.76,25.55,69.09,20.87,28.38,43.66,41.69,42.15,5.88,46.31,0.6,59.9,3.11,2.08,4.22,0.0,32.13,58.36,2023,Politechnika Lubelska,15.65,
25=,SWPS Uniwersytet Humanistycznospołeczny w Warszawie,,62.3,16.16,9.65,46.79,86.18,58.12,15.53,17.92,0.0,0.0,39.58,31.02,72.25,41.49,55.89,32.77,46.29,38.05,75.23,16.58,10.08,22.62,4.41,79.38,9.44,10.21,0.0,0.0,13.55,2.38,2023,,69.57,
25=,Uniwersytet Łódzki,,62.0,19.33,29.93,42.86,62.87,74.17,70.87,68.87,4.29,1.98,86.02,26.26,38.11,30.49,30.86,25.71,28.82,40.41,63.14,56.04,22.69,29.18,5.26,53.19,11.26,5.66,3.99,100.0,23.76,43.85,2023,,62.61,
25=,Politechnika Krakowska im. Tadeusza Kościuszki,,61.9,11.55,25.76,46.5,76.74,49.09,25.24,27.36,21.08,5.84,66.31,55.6,46.94,38.6,59.26,23.46,30.57,36.87,50.76,44.57,17.65,13.22,2.12,43.37,7.31,1.17,3.54,0.0,22.34,37.25,2023,Politechnika Krakowska,27.83,
29,Akademia WSB w Dąbrowie Górniczej,,61.8,3.0,0.0,46.55,74.93,74.45,6.8,9.43,0.0,0.0,74.9,27.78,71.79,20.43,41.28,30.09,47.6,48.08,20.85,9.38,21.85,95.6,38.03,97.71,26.35,20.35,32.66,0.0,24.16,10.9,2023,,62.61,
30=,Uniwersytet Śląski w Katowicach,,61.0,14.86,26.36,34.41,69.97,83.63,76.7,74.53,2.83,0.0,77.74,43.21,32.84,22.13,32.7,23.41,26.64,38.35,73.72,59.27,10.08,13.37,0.58,53.68,10.68,100.0,5.03,100.0,29.92,15.16,2023,,37.39,
30=,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,,60.9,19.56,33.53,36.33,60.62,75.17,39.81,44.34,5.28,3.12,83.36,55.81,30.83,29.64,41.47,34.72,37.55,37.76,55.59,51.79,16.81,23.09,4.56,52.21,3.88,2.92,8.26,100.0,17.27,19.08,2023,,55.65,
30=,Uniwersytet Przyrodniczy w Poznaniu,,60.8,12.13,20.51,26.75,70.17,100.0,29.13,31.13,11.43,13.6,71.67,45.05,59.88,35.73,52.9,36.0,37.55,38.35,59.52,75.11,15.13,20.07,7.99,44.68,1.24,0.83,1.44,0.0,12.79,7.92,2023,,33.91,
30=,Uniwersytet Przyrodniczy we Wrocławiu,,60.8,12.75,19.22,23.4,68.79,73.96,28.16,27.36,35.15,0.0,75.02,57.58,37.81,38.11,50.93,31.92,34.5,38.35,58.31,61.73,16.81,16.54,4.45,55.32,5.35,5.37,5.77,100.0,25.52,22.65,2023,,34.78,
34,Uniwersytet Ekonomiczny w Poznaniu,,60.1,12.96,0.0,67.14,57.14,83.71,7.77,7.55,0.7,0.0,72.24,49.48,32.19,32.27,25.59,27.54,39.3,37.17,55.89,39.74,36.97,26.97,4.62,44.84,3.89,0.0,7.16,0.0,32.81,21.24,2023,,55.65,
35=,Wojskowa Akademia Techniczna im. J. Dąbrowskiego w Warszawie,,58.7,3.95,0.0,54.58,61.43,44.74,24.27,26.42,6.52,20.36,45.13,80.32,31.37,22.19,56.99,17.74,20.96,37.17,51.66,93.44,10.92,2.77,0.06,33.39,1.36,0.68,0.87,0.0,13.66,5.38,2023,WAT,5.22,
35=,Uczelnia Łazarskiego w Warszawie,,58.5,14.5,0.0,53.01,71.22,40.75,6.8,6.6,0.0,0.0,18.12,42.17,100.0,15.57,39.16,17.63,31.0,28.91,27.49,18.9,11.76,85.43,24.46,41.41,21.3,21.39,0.0,0.0,9.4,10.63,2023,,53.91,
36=,Śląski Uniwersytet Medyczny w Katowicach,,57.8,4.2,15.64,56.81,57.14,55.22,11.65,11.32,6.72,11.11,29.09,32.28,54.69,68.08,63.12,32.25,39.3,31.56,40.18,67.39,15.13,14.94,5.47,42.39,0.67,1.35,0.0,0.0,14.77,5.24,2023,,46.96,
36=,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,,57.5,3.9,11.31,44.21,61.53,84.28,33.98,44.34,34.49,0.0,75.41,51.03,24.2,20.52,48.94,32.41,36.68,36.87,49.24,81.76,5.88,17.4,0.67,41.08,2.48,1.66,0.63,0.0,8.72,46.01,2023,ZUT,16.52,
41=,Akademia Ekonomiczno-Humanistyczna w Warszawie,,56.9,2.12,0.0,44.2,61.0,74.24,3.88,7.55,0.0,0.0,51.66,21.67,55.85,8.76,24.46,38.51,62.45,56.34,71.0,6.18,1.68,100.0,48.22,96.07,67.92,5.68,0.0,0.0,1.43,3.14,2023,,74.78,
41=,Uniwersytet Warmińsko-Mazurski w Olsztynie,,56.7,12.14,27.11,32.03,62.08,77.02,66.99,70.75,5.34,0.0,84.82,31.4,40.41,25.29,38.63,29.04,34.5,34.51,53.78,62.35,43.7,9.7,2.4,42.88,4.53,1.9,0.0,0.0,7.03,10.55,2023,,50.43,
41=,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,,56.7,5.86,0.0,43.04,67.0,86.77,46.6,45.28,1.21,5.13,57.21,62.76,53.85,27.61,22.69,39.29,49.78,43.07,49.24,50.23,0.0,7.71,0.38,56.96,8.01,1.69,0.0,0.0,12.66,9.12,2023,,28.7,
42=,Społeczna Akademia Nauk w Łodzi,,56.3,1.15,0.0,51.79,64.02,28.48,1.94,4.72,0.0,0.0,40.62,5.52,39.75,0.0,100.0,40.91,62.45,45.13,100.0,7.15,0.0,59.3,20.94,100.0,13.64,3.91,100.0,0.0,14.78,1.85,2023,,42.61,
42=,Akademia Finansów i Biznesu Vistula,,56.0,2.5,0.0,57.29,63.22,60.42,3.88,12.26,0.0,0.0,40.1,60.15,37.86,0.0,28.2,15.54,33.19,24.48,57.4,7.2,10.08,100.0,51.3,39.44,35.43,4.74,4.14,0.0,10.23,3.41,2023,,91.3,
42=,Politechnika Częstochowska,,55.9,9.82,9.31,38.61,55.85,63.67,23.3,25.47,17.48,13.65,64.2,32.28,23.74,39.14,56.13,34.98,39.74,44.25,35.35,79.04,8.4,36.07,3.73,54.17,3.88,4.87,0.0,0.0,9.64,48.37,2023,Politechnika Czestochowska,29.57,
45=,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,,55.0,11.37,18.78,28.94,65.13,84.9,62.14,74.53,3.78,3.0,72.36,31.67,38.22,31.36,28.51,26.34,27.51,37.76,64.95,57.57,17.65,33.18,2.54,50.08,8.67,0.83,0.67,0.0,10.38,8.47,2023,,53.91,
45=,Polsko-Japońska Akademia Technik Komputerowych w Warszawie,,54.6,9.25,0.0,55.0,64.59,32.62,4.85,7.55,0.0,0.0,12.56,56.25,23.94,24.13,72.03,18.52,39.3,34.81,48.34,8.47,1.68,77.09,22.61,53.19,19.25,9.66,0.0,0.0,7.65,0.38,2023,PJATK,67.83,
47,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,,54.0,7.49,8.71,23.25,64.85,92.45,26.21,28.3,10.2,11.38,76.02,49.73,42.47,29.27,46.18,30.68,35.37,36.87,68.58,68.94,0.0,7.12,1.05,46.81,3.01,21.58,1.68,0.0,13.7,12.98,2023,,25.22,
48=,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,,53.4,7.27,8.05,29.13,76.35,83.09,45.63,44.34,0.17,0.0,57.64,29.6,51.21,26.24,20.4,24.97,34.93,41.0,48.04,71.73,1.68,28.16,1.56,34.7,12.83,3.14,0.82,0.0,27.14,15.74,2023,,34.78,
48=,Politechnika Opolska,,53.3,1.68,8.05,41.93,63.18,63.44,15.53,15.09,15.37,19.5,52.59,34.33,48.88,17.54,54.62,26.13,36.24,35.1,60.73,56.12,0.0,26.12,0.89,56.46,12.03,0.0,0.0,0.0,13.36,23.04,2023,Politechnika Opolska,13.04,
48=,Akademia Wychowania Fizycznego im. J. Kukuczki w Katowicach,,53.3,1.73,0.0,33.31,100.0,43.92,3.88,3.77,34.43,0.0,19.92,11.07,47.18,41.62,82.48,25.74,28.38,33.92,41.99,43.48,0.0,1.66,0.0,71.85,4.02,0.0,0.0,0.0,15.22,10.65,2023,,0.0,
48=,Uniwersytet Zielonogórski,,53.0,2.76,14.81,42.61,63.1,66.24,39.81,58.49,2.3,0.0,67.13,32.3,33.2,11.94,44.31,42.8,44.1,37.46,54.38,64.98,0.0,7.38,0.7,70.05,8.72,3.37,1.55,0.0,9.59,19.75,2023,,12.17,
48=,Uniwersytet Ekonomiczny w Krakowie,,53.0,9.27,0.0,53.73,58.7,52.95,13.59,13.21,0.13,0.0,71.5,34.23,31.21,30.79,15.97,22.68,34.06,40.12,50.15,30.97,46.22,19.29,3.03,35.35,4.67,0.85,2.73,0.0,36.45,27.63,2023,,31.3,
48=,Politechnika Białostocka,,52.9,3.1,9.56,40.52,61.14,59.51,18.45,20.75,12.58,30.04,61.34,50.96,28.27,16.62,53.57,20.12,25.76,30.97,42.3,49.54,13.45,18.55,7.55,39.28,6.29,4.21,10.08,0.0,24.39,55.51,2023,Politechnika Bialostocka,22.61,
54-61,Akademia Marynarki Wojennej im. Bohaterów Westerplatte w Gdyni,,,2.33,0.0,33.3,81.65,48.97,4.85,4.72,3.52,0.0,23.56,53.74,6.13,7.21,44.46,15.98,20.09,27.43,73.41,63.9,2.52,2.61,1.91,18.82,2.69,54.03,0.0,0.0,100.0,31.8,2023,,0.0,
54-61,Collegium Civitas w Warszawie,,,4.41,0.0,54.69,57.14,45.99,1.94,4.72,0.0,0.0,11.61,33.81,30.43,0.0,23.86,16.41,37.12,31.56,66.16,12.17,1.68,100.0,20.31,57.94,31.17,0.0,7.67,0.0,36.83,33.41,2023,,56.52,
54-61,Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich,,,1.36,0.0,47.52,62.2,53.62,18.45,20.75,28.9,18.22,64.23,35.19,46.07,16.67,46.29,24.1,29.69,34.22,43.2,56.09,0.0,3.86,0.0,48.45,7.5,8.11,0.0,0.0,6.7,37.57,2023,Politechnika Bydgoska,0.0,
54-61,Politechnika Koszalińska,,,0.83,0.0,38.96,60.39,52.72,11.65,14.15,21.86,0.0,48.96,45.5,22.9,11.34,41.28,27.52,36.24,36.58,38.07,56.13,3.36,27.6,0.0,60.72,8.82,1.97,0.0,100.0,5.51,14.7,2023,Politechnika Koszalinska,7.83,
54-61,Politechnika Rzeszowska im. Ignacego Łukasiewicza,,,11.23,16.3,46.23,59.02,49.62,24.27,26.42,34.07,0.0,56.29,35.04,32.63,26.04,36.65,23.8,31.0,36.58,39.88,41.74,3.36,4.49,1.91,39.12,4.87,0.0,3.9,0.0,9.06,8.28,2023,Politechnika Rzeszowska,4.35,
54-61,Uniwersytet Ekonomiczny we Wrocławiu,,,11.75,0.0,57.0,57.14,72.2,8.74,11.32,0.95,0.0,77.48,34.3,20.28,22.66,23.27,18.66,30.13,38.94,43.81,39.21,30.25,13.42,1.61,38.3,1.75,21.06,1.36,0.0,28.9,32.94,2023,,30.43,
54-61,Uniwersytet Morski w Gdyni,,,0.56,0.0,41.78,54.35,44.6,9.71,12.26,5.22,39.75,54.42,100.0,42.21,20.82,34.8,19.66,28.38,27.73,58.01,43.34,0.0,9.85,0.0,24.88,2.8,3.75,0.0,0.0,19.42,7.14,2023,Uniwersytet Morski w Gdyni,9.57,
54-61,Uniwersytet w Białymstoku,,,8.33,8.86,31.78,65.22,71.16,30.1,37.74,3.37,5.34,52.35,27.01,36.12,26.76,25.24,49.6,48.47,53.1,70.39,56.1,5.04,18.87,0.0,55.81,10.93,0.0,0.98,0.0,14.12,12.53,2023,,8.7,
62-70,Akademia Wychowania Fizycznego im. B. Czecha w Krakowie,,,1.42,0.0,31.18,71.43,44.45,3.88,3.77,5.73,15.29,36.15,65.16,34.45,26.49,88.44,15.71,20.52,26.84,29.91,37.23,5.04,4.5,0.0,34.86,0.0,0.0,0.0,0.0,8.78,10.7,2023,,6.96,
62-70,Akademia Wychowania Fizycznego im. E. Piaseckiego w Poznaniu,,,1.22,0.0,35.64,71.43,51.41,3.88,3.77,0.0,0.0,24.67,24.78,64.01,41.71,47.21,29.41,31.0,30.09,41.69,42.15,0.0,4.04,0.0,55.65,1.51,0.0,0.0,0.0,63.47,27.7,2023,,0.0,
62-70,Akademia Wychowania Fizycznego we Wrocławiu,,,1.76,0.0,32.3,71.43,54.35,3.88,3.77,0.0,0.0,25.08,24.4,66.84,30.66,71.59,19.73,22.27,28.61,23.26,52.99,0.0,7.07,0.0,47.14,1.17,18.83,0.0,0.0,27.67,7.61,2023,,5.22,
62-70,Politechnika Świętokrzyska w Kielcach,,,3.22,0.0,43.12,63.48,52.6,12.62,12.26,17.11,0.0,50.92,45.44,33.33,32.86,57.76,11.56,19.65,28.02,23.56,48.73,3.36,17.14,2.92,29.13,3.87,0.0,0.0,0.0,3.97,14.77,2023,Politechnika Swietokrzyska,24.35,
62-70,Akademia Pożarnicza w Warszawie,,,0.37,0.0,77.03,83.45,33.52,1.94,7.55,3.57,0.0,29.2,33.32,11.46,8.98,45.22,16.99,20.52,29.2,26.89,32.84,0.0,2.26,0.0,16.04,2.26,0.0,0.0,0.0,2.08,0.0,2023,,0.0,
62-70,Uniwersytet Ekonomiczny w Katowicach,,,3.52,0.0,47.52,57.14,63.14,7.77,7.55,0.0,0.0,64.6,36.66,36.65,33.15,18.6,20.66,30.57,38.64,39.88,30.49,26.89,8.92,2.12,30.93,0.7,0.0,11.16,0.0,25.74,17.62,2023,,38.26,
62-70,Uniwersytet Przyrodniczy w Lublinie,,,6.43,3.35,20.95,64.96,91.19,21.36,20.75,14.53,0.0,69.68,38.69,37.79,30.27,54.52,26.02,28.82,34.51,48.34,61.8,11.76,9.6,0.35,36.01,1.9,7.65,0.0,0.0,9.5,4.9,2023,,13.91,
62-70,Uniwersytet Rzeszowski,,,3.3,10.16,27.07,63.74,65.15,35.92,54.72,6.23,0.0,60.44,38.06,35.78,24.8,45.56,23.39,28.38,36.87,47.73,48.25,0.0,6.53,0.89,50.57,9.93,5.98,0.75,0.0,4.3,7.59,2023,,23.48,
62-70,Uniwersytet Szczeciński,,,3.57,0.0,36.91,63.87,70.35,49.51,59.43,0.0,0.0,82.4,23.51,18.76,14.57,25.3,22.0,33.19,30.68,45.02,59.04,5.04,18.24,5.9,45.66,13.03,6.09,5.09,0.0,13.26,25.51,2023,,26.96,
71-82,Akademia Katolicka w Warszawie,,,1.07,0.0,75.65,57.14,79.46,3.88,3.77,0.0,0.0,0.06,17.58,60.02,24.71,7.54,2.13,10.04,23.01,17.82,39.29,6.72,48.88,0.0,18.17,5.77,0.0,0.0,0.0,0.0,0.0,2023,,15.65,
71-82,Akademia Wychowania Fizycznego i Sportu im. J. Śniadeckiego w Gdańsku,,,1.2,0.0,37.88,71.43,38.58,3.88,3.77,0.0,0.0,19.0,26.41,16.21,39.49,76.39,24.82,29.26,35.4,32.93,35.73,0.0,15.31,4.15,82.82,7.95,11.97,0.0,0.0,17.91,10.83,2023,,14.78,
71-82,Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie,,,6.22,0.0,35.48,71.43,33.45,0.97,0.94,0.0,0.0,30.62,33.74,9.36,41.66,48.07,20.35,25.76,31.56,26.59,32.53,0.0,11.58,0.0,29.46,0.0,24.18,0.0,0.0,48.36,30.45,2023,,6.09,
71-82,Politechnika Morska w Szczecinie,,,1.23,0.0,35.45,61.07,30.93,5.83,5.66,10.21,0.0,47.15,29.94,15.03,3.79,28.33,24.41,35.81,41.0,53.47,36.64,8.4,60.09,4.54,33.06,6.55,18.41,8.2,0.0,8.71,1.98,2023,Politechnika Morska w Szczecinie,14.78,
71-82,Uniwersytet Dolnośląski DSW we Wrocławiu,,,1.9,0.0,44.84,71.43,55.65,4.85,7.55,0.0,0.0,22.88,32.79,21.79,44.84,13.21,20.39,27.07,30.38,56.8,10.51,0.0,30.6,7.78,55.16,9.09,0.0,0.0,0.0,2.58,3.01,2023,,33.04,
71-82,Uniwersytet Jana Długosza w Częstochowie,,,0.85,0.0,27.95,64.3,64.96,15.53,29.25,3.96,50.18,37.79,13.86,49.17,10.33,26.41,27.64,29.26,41.0,52.27,44.68,0.0,18.13,0.0,76.76,9.93,11.39,2.09,0.0,6.37,26.02,2023,,4.35,
71-82,Uniwersytet Jana Kochanowskiego w Kielcach,,,1.64,4.78,30.87,56.77,65.44,29.13,53.77,2.83,0.0,53.58,35.57,42.77,16.29,27.69,21.8,26.2,32.15,40.48,52.02,10.08,10.29,1.73,49.26,9.09,9.47,1.19,0.0,9.2,8.02,2023,,33.04,
